""	"Prot"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MAK32"	"MAK32"	-0.173924701806447	7.73753737310161	-0.845971125236398	0.433848714413392	0.896830820246278	-6.55556766882085
"NOP7"	"NOP7"	0.726624619913207	11.2468590684595	0.853880214156429	0.429820073784617	0.896830820246278	-6.55582924283885
"PLP2"	"PLP2"	-0.223013677886615	7.97443182404241	-0.872925912432926	0.420235006325078	0.896830820246278	-6.55714701221968
"SLT2"	"SLT2"	-0.537026402617601	11.3379625735538	-0.881416706665957	0.416014781905218	0.896830820246278	-6.55717989096775
"CUE5"	"CUE5"	-0.327870358990378	7.47490031976085	-0.88109098736966	0.416176074295323	0.896830820246278	-6.55747455528968
"YDR391C"	"YDR391C"	1.10659476218717	9.27242773700966	0.879310796798453	0.41705845178143	0.896830820246278	-6.55908358599934
"PPH3"	"PPH3"	-0.373783540320222	8.39456340361346	-0.838966092823668	0.437440506675144	0.896830820246278	-6.56020348453116
"ATP2"	"ATP2"	-0.518482663976894	14.3102401651942	-0.877875803469064	0.41777077080637	0.896830820246278	-6.56037884524722
"MAS1"	"MAS1"	-0.671295621225211	11.3049875819401	-0.840189185148731	0.436811772045993	0.896830820246278	-6.56258823443919
"CYT2"	"CYT2"	1.11725634748243	9.34492979330401	0.875231211523465	0.419085965393502	0.896830820246278	-6.56276178460241
"YGL185C"	"YGL185C"	0.239393966674393	6.84499116638267	0.816162623602479	0.449286664896874	0.898949073794601	-6.56345604005365
"MAE1"	"MAE1"	-0.205006898695318	12.7401257780811	-0.847774532101198	0.43292762314026	0.896830820246278	-6.56403635306445
"CMK2"	"CMK2"	1.09482257465636	10.1180008458007	0.872283165447904	0.42055580243232	0.896830820246278	-6.56541182513858
"MEF2"	"MEF2"	0.379537442214691	7.88759492106694	0.830620590276251	0.441748611424934	0.896830820246278	-6.56576715534576
"THR4"	"THR4"	0.27373531332358	15.2649302212812	0.834576477975072	0.439702578600308	0.896830820246278	-6.56581504339463
"MRH4"	"MRH4"	-1.28654416096953	8.95433181855671	-0.871582715134741	0.420905611262847	0.896830820246278	-6.56604048678723
"UTP30"	"UTP30"	-0.159083689761396	7.8934690667186	-0.850256202588955	0.431662515576159	0.896830820246278	-6.56776344603727
"VRP1"	"VRP1"	1.33397531620102	9.15752442682513	0.869081568911472	0.422156509852368	0.896830820246278	-6.56828220574721
