"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERV1","ERV1",-0.26353845445011,8.63185287465272,-0.657015785830961,0.538446236136788,0.922386776874571,-6.70290915471447
"YFR016C","YFR016C",0.337730338828757,11.9771299501963,0.706632982562252,0.509445996428761,0.918937802847384,-6.70300848820497
"SLA1","SLA1",-0.243778378294145,8.18164769975764,-0.7049148692528,0.510432225832891,0.918937802847384,-6.70431327009188
"AXL2","AXL2",-0.458179293915018,7.28844381908127,-0.704312163526982,0.510778497920668,0.918937802847384,-6.7047703580483
"WIP1","WIP1",0.113297827024684,7.07266075751087,0.544228846986553,0.608244785741321,0.930635269862416,-6.70514859812106
"MAK11","MAK11",1.40880318121351,8.61801445505571,0.70345751361773,0.511269793143443,0.918937802847384,-6.7054179634481
"GET1","GET1",0.363258602835684,12.6729347649551,0.638648432504311,0.549451266239066,0.923079034494259,-6.70575245725462
"MSN5","MSN5",0.255836543004013,11.063158593092,0.648581643875063,0.543481757162888,0.922386776874571,-6.706693464013
"KAP123","KAP123",-0.273492239002764,13.2375371985562,-0.687034702864289,0.520772662010883,0.922386776874571,-6.70673806433116
"YLR126C","YLR126C",0.396448448870515,7.74366083190765,0.682875541283652,0.523198024754638,0.922386776874571,-6.70702904922527
"TVP18","TVP18",-0.236549089863474,8.02852154842396,-0.667287220148343,0.532355061853364,0.922386776874571,-6.70705378850687
"PMI40","PMI40",0.412651096938795,12.3732902879409,0.692023313160255,0.517873574674376,0.922386776874571,-6.70797207669382
"SHO1","SHO1",1.03603430444572,9.35824915346003,0.678120186394174,0.525980280065183,0.922386776874571,-6.70921037788393
"TAF5","TAF5",0.142829003918049,7.95448894242536,0.681338420974231,0.524096284529832,0.922386776874571,-6.70931659583762
"PDB1","PDB1",-0.389899953528885,12.9548128016931,-0.695252077232758,0.516003007225646,0.922386776874571,-6.71160235022905
"RRP42","RRP42",1.00258672084276,8.60003689217439,0.694815409206424,0.516255721677896,0.922386776874571,-6.71191917720449
"CIT2","CIT2",-0.101503513803446,12.5295596854461,-0.535872127464238,0.613621686000203,0.930635269862416,-6.71196099875758
"PHO85","PHO85",0.130198277953086,8.16969550493109,0.672878990463048,0.529058171711589,0.922386776874571,-6.71272854360523
"NRD1","NRD1",0.142435305061161,8.15451834722742,0.692416700487436,0.517645423743679,0.922386776874571,-6.71372532046575
